Evaluating SPN... 
Proc_ID: 39, Proc_Arrive: 647, Proc_ExecTime: 1, Remaing_Time: 352, TT: 1
Proc_ID: 68, Proc_Arrive: 445, Proc_ExecTime: 1, Remaing_Time: 299, TT: 255
Proc_ID: 71, Proc_Arrive: 435, Proc_ExecTime: 1, Remaing_Time: 283, TT: 282
Proc_ID: 31, Proc_Arrive: 670, Proc_ExecTime: 2, Remaing_Time: 271, TT: 60
Proc_ID: 35, Proc_Arrive: 471, Proc_ExecTime: 2, Remaing_Time: 259, TT: 271
Proc_ID: 73, Proc_Arrive: 622, Proc_ExecTime: 2, Remaing_Time: 247, TT: 132
Proc_ID: 91, Proc_Arrive: 450, Proc_ExecTime: 2, Remaing_Time: 235, TT: 316
Proc_ID: 25, Proc_Arrive: 550, Proc_ExecTime: 4, Remaing_Time: 223, TT: 229
Proc_ID: 50, Proc_Arrive: 559, Proc_ExecTime: 4, Remaing_Time: 211, TT: 233
Proc_ID: 56, Proc_Arrive: 468, Proc_ExecTime: 4, Remaing_Time: 199, TT: 336
Proc_ID: 67, Proc_Arrive: 546, Proc_ExecTime: 4, Remaing_Time: 187, TT: 270
Proc_ID: 84, Proc_Arrive: 563, Proc_ExecTime: 5, Remaing_Time: 174, TT: 267
Proc_ID: 26, Proc_Arrive: 700, Proc_ExecTime: 7, Remaing_Time: 162, TT: 144
Proc_ID: 48, Proc_Arrive: 616, Proc_ExecTime: 7, Remaing_Time: 153, TT: 237
Proc_ID: 44, Proc_Arrive: 458, Proc_ExecTime: 8, Remaing_Time: 145, TT: 404
Proc_ID: 45, Proc_Arrive: 485, Proc_ExecTime: 8, Remaing_Time: 137, TT: 385
Proc_ID: 90, Proc_Arrive: 291, Proc_ExecTime: 8, Remaing_Time: 129, TT: 587
Proc_ID: 40, Proc_Arrive: 400, Proc_ExecTime: 9, Remaing_Time: 121, TT: 487
Proc_ID: 19, Proc_Arrive: 358, Proc_ExecTime: 10, Remaing_Time: 113, TT: 538
Proc_ID: 72, Proc_Arrive: 590, Proc_ExecTime: 10, Remaing_Time: 105, TT: 314
Proc_ID: 10, Proc_Arrive: 521, Proc_ExecTime: 11, Remaing_Time: 97, TT: 392
Proc_ID: 36, Proc_Arrive: 505, Proc_ExecTime: 11, Remaing_Time: 89, TT: 416
Proc_ID: 80, Proc_Arrive: 347, Proc_ExecTime: 11, Remaing_Time: 81, TT: 582
